map,recip_rank,ndcg_cut_10,ndcg_cut_100,fb_docs,fb_terms,fb_lambda
0.23775231835677452,0.23775231835677452,0.2812664514530182,0.3387317054938106,10,100,0.9
0.19711741477186515,0.19711741477186515,0.23262934658475334,0.2917553915861136,20,10,0.3
0.20599817515368746,0.20599817515368746,0.2441815340954524,0.3039296097673826,20,10,0.5
0.2166622630494451,0.2166622630494451,0.2580566222738131,0.31770691378244914,20,10,0.7
0.22325833557701297,0.22325833557701297,0.2655558401835366,0.325043431605229,20,10,0.8
0.2322735070593077,0.2322735070593077,0.2756017394136244,0.33401345416614053,20,10,0.9
0.1998695810247308,0.1998695810247308,0.23495154003454521,0.2931899083018706,20,20,0.3
0.2099432098688918,0.2099432098688918,0.24705819253289552,0.3071022789793295,20,20,0.5
0.22044043640667924,0.22044043640667924,0.2598217329802546,0.32039660297050604,20,20,0.7
0.22534844174149624,0.22534844174149624,0.2673251679750524,0.32666773213301975,20,20,0.8
0.23375339591749575,0.23375339591749575,0.27689366526020986,0.3351428155601296,20,20,0.9
0.2031374899788273,0.2031374899788273,0.23780193752714376,0.29588991962454425,20,50,0.3
0.2115752023207293,0.2115752023207293,0.24858376014464192,0.30840848179557023,20,50,0.5
0.2207630169492545,0.2207630169492545,0.2618432390470014,0.3209686059458443,20,50,0.7
0.22655203611384145,0.22655203611384145,0.2683455222441471,0.3279068545639587,20,50,0.8
0.23522195879256175,0.23522195879256175,0.2786043551647436,0.3365034571311503,20,50,0.9
0.2056741435598267,0.2056741435598267,0.24123451532308418,0.2981289473573161,20,100,0.3
0.21340067031288615,0.21340067031288615,0.25181403468856434,0.3104020751700967,20,100,0.5
0.22238809852908592,0.22238809852908592,0.26362793267057016,0.3223441133832979,20,100,0.7
0.22854319057115388,0.22854319057115388,0.2701974253344871,0.3296547251440121,20,100,0.8
0.23543410736240586,0.23543410736240586,0.27840669724795897,0.33669878178654045,20,100,0.9
0.19501720091463293,0.19501720091463293,0.2276926991282352,0.28877919649186623,50,10,0.3
0.20391623851418167,0.20391623851418167,0.2403604995002343,0.30126698457894135,50,10,0.5
0.21457563299166088,0.21457563299166088,0.2546514485601455,0.31554883050964305,50,10,0.7
0.22099024839742307,0.22099024839742307,0.2625291776415893,0.3230532997470763,50,10,0.8
0.23166378960875528,0.23166378960875528,0.2753005078277186,0.33321876212422685,50,10,0.9
0.19753730277170575,0.19753730277170575,0.23119768977331662,0.28971616747673173,50,20,0.3
0.2070550426259441,0.2070550426259441,0.24210857469460287,0.3033978560755417,50,20,0.5
0.21729381295463795,0.21729381295463795,0.2560234133922941,0.3170377458679554,50,20,0.7
0.2238888506865712,0.2238888506865712,0.26465319395844245,0.3249502448141626,50,20,0.8
0.23380761000943628,0.23380761000943628,0.27616270026475936,0.33486293340421786,50,20,0.9
0.19914301057646455,0.19914301057646455,0.23208768369343832,0.2905924350775612,50,50,0.3
0.20857474949939597,0.20857474949939597,0.24455751369585452,0.30419444387456973,50,50,0.5
0.21767530716372027,0.21767530716372027,0.2572159794572711,0.3174348201878005,50,50,0.7
0.225555503192418,0.225555503192418,0.2658739527099545,0.32639778942454367,50,50,0.8
0.23482819920446682,0.23482819920446682,0.2777017126612254,0.3358403661851255,50,50,0.9
0.20150362403691233,0.20150362403691233,0.23501383030151965,0.29227154735660466,50,100,0.3
0.21003853857390808,0.21003853857390808,0.24639628016092352,0.30555709050626084,50,100,0.5
0.21934156972520988,0.21934156972520988,0.25974046753447644,0.3187026487186312,50,100,0.7
0.22700635562651525,0.22700635562651525,0.2674802237875644,0.32758028349698975,50,100,0.8
0.23529257402697842,0.23529257402697842,0.2777998184434552,0.33619551446568124,50,100,0.9
0.19364850193069236,0.19364850193069236,0.22671613436631807,0.2863409690807779,100,10,0.3
0.20413238873868855,0.20413238873868855,0.24004682980880704,0.3005951849713934,100,10,0.5
0.21431323387574117,0.21431323387574117,0.2533431380866144,0.3145825834930065,100,10,0.7
0.2208610333123835,0.2208610333123835,0.2617320884342018,0.32235266780498023,100,10,0.8
0.23241266735535585,0.23241266735535585,0.2760599725526245,0.3336499844118239,100,10,0.9
0.1956566738306364,0.1956566738306364,0.2292100317162984,0.28685980267840366,100,20,0.3
0.20523225353173272,0.20523225353173272,0.24057877320938276,0.30055582916416934,100,20,0.5
0.2163210900555539,0.2163210900555539,0.2538487646260814,0.31532753922717877,100,20,0.7
0.22273591616405058,0.22273591616405058,0.2628899656418718,0.3236157036600487,100,20,0.8
0.23228358329819956,0.23228358329819956,0.2746771990312644,0.3334845499572773,100,20,0.9
0.1971863722727901,0.1971863722727901,0.23000139000445835,0.2875605361754837,100,50,0.3
0.20686583102421238,0.20686583102421238,0.2424939953683932,0.30179812352992147,100,50,0.5
0.2167830774261896,0.2167830774261896,0.2558021731692965,0.31564891477342805,100,50,0.7
0.2243377085439614,0.2243377085439614,0.26428519945882967,0.32468940881820113,100,50,0.8
0.2344259121365119,0.2344259121365119,0.2765911536420714,0.33521573376550823,100,50,0.9
